Mask Mandate,Social Distancing,Mobility Level,Population Density,Cases Per Capita,Current Phase,Future Phase,support,confidence,lift,chi_squared
M,Phase 0,VL,1,L,,Phase 3,0.0009523809523809524,0.25,1.215277777777778,0.048195191456777274
M,Phase 0,VL,1,L,Phase 3,Phase 3,0.0009523809523809524,0.5,2.430555555555556,1.0620749583539275
,,VL,1,L,Phase 2,Phase 3,0.0009523809523809524,0.09090909090909091,0.44191919191919193,0.8967023598725359
M,,VL,1,L,Phase 2,Phase 3,0.0009523809523809524,0.19999999999999998,0.9722222222222222,0.0010039815037921824
N,,VL,1,L,,Phase 3,0.0009523809523809524,0.0625,0.3038194444444445,2.0394836210335408
N,Phase 0,VL,1,L,,Phase 3,0.0009523809523809524,0.09999999999999999,0.4861111111111111,0.6905293073233718
N,,VL,1,L,Phase 3,Phase 3,0.0009523809523809524,0.19999999999999998,0.9722222222222222,0.0010039815037921824
N,Phase 0,VL,1,L,Phase 3,Phase 3,0.0009523809523809524,0.5,2.430555555555556,1.0620749583539275
,,VL,1,,Phase 1,Phase 2,0.009523809523809525,0.6666666666666667,1.647058823529412,4.332480818414324
N,,VL,1,,Phase 1,Phase 2,0.009523809523809525,1.0,2.4705882352941178,14.847285067873303
,Phase 0,VL,1,,Phase 1,Phase 2,0.007619047619047619,1.0,2.4705882352941178,11.855029919837417
N,Phase 0,VL,1,,Phase 1,Phase 2,0.007619047619047619,1.0,2.4705882352941178,11.855029919837417
,,VL,1,L,Phase 1,Phase 2,0.004761904761904762,1.0,2.4705882352941178,7.388122713200113
,Phase 0,VL,1,L,Phase 1,Phase 2,0.004761904761904762,1.0,2.4705882352941178,7.388122713200113
N,,VL,1,L,Phase 1,Phase 2,0.004761904761904762,1.0,2.4705882352941178,7.388122713200113
N,Phase 0,VL,1,L,Phase 1,Phase 2,0.004761904761904762,1.0,2.4705882352941178,7.388122713200113
,Phase 0,VL,1,VL,Phase 1,Phase 2,0.0019047619047619048,1.0,2.4705882352941178,2.946789402784014
N,Phase 0,VL,1,VL,Phase 1,Phase 2,0.0019047619047619048,1.0,2.4705882352941178,2.946789402784014
,,VL,1,VL,Phase 1,Phase 2,0.0038095238095238095,1.0,2.4705882352941178,5.9048475986953095
N,,VL,1,VL,Phase 1,Phase 2,0.0038095238095238095,1.0,2.4705882352941178,5.9048475986953095
,,VL,1,M,Phase 1,Phase 2,0.0009523809523809524,1.0,2.4705882352941178,1.4719901306566479
,Phase 0,VL,1,M,Phase 1,Phase 2,0.0009523809523809524,1.0,2.4705882352941178,1.4719901306566479
N,,VL,1,M,Phase 1,Phase 2,0.0009523809523809524,1.0,2.4705882352941178,1.4719901306566479
N,Phase 0,VL,1,M,Phase 1,Phase 2,0.0009523809523809524,1.0,2.4705882352941178,1.4719901306566479
,Phase 4,VL,1,,Phase 1,Phase 2,0.0009523809523809524,0.3333333333333333,0.8235294117647058,0.06371144446317212
,Phase 4,VL,1,VL,Phase 1,Phase 2,0.0009523809523809524,1.0,2.4705882352941178,1.4719901306566479
N,Phase 4,VL,1,,Phase 1,Phase 2,0.0009523809523809524,1.0,2.4705882352941178,1.4719901306566479
N,Phase 4,VL,1,VL,Phase 1,Phase 2,0.0009523809523809524,1.0,2.4705882352941178,1.4719901306566479
,,VL,1,M,Phase 2,Phase 3,0.002857142857142857,0.27272727272727276,1.325757575757576,0.3055224907483238
M,,VL,1,M,Phase 2,Phase 3,0.0019047619047619048,0.2857142857142857,1.3888888888888888,0.27602079410297253
,,VL,1,M,,Phase 2,0.008571428571428572,0.375,0.9264705882352942,0.09029927760577905
,,VL,1,M,Phase 2,Phase 2,0.007619047619047619,0.7272727272727273,1.7967914438502675,4.799153855259841
M,,VL,1,M,,Phase 2,0.004761904761904762,0.38461538461538464,0.9502262443438915,0.022175000109085928
M,,VL,1,M,Phase 2,Phase 2,0.004761904761904762,0.7142857142857143,1.7647058823529411,2.8022108172127917
,Phase 0,VL,1,M,,Phase 2,0.005714285714285714,0.8571428571428571,2.1176470588235294,5.985787603632057
M,Phase 0,VL,1,M,,Phase 2,0.002857142857142857,1.0,2.4705882352941178,4.424405865498062
,Phase 0,VL,1,M,Phase 2,Phase 2,0.004761904761904762,0.8333333333333334,2.058823529411765,4.6004056795131865
M,Phase 0,VL,1,M,Phase 2,Phase 2,0.002857142857142857,1.0,2.4705882352941178,4.424405865498062
,Phase 0,VL,1,M,,Phase 3,0.0009523809523809524,0.14285714285714285,0.6944444444444444,0.17040059227785562
,Phase 0,VL,1,M,Phase 2,Phase 3,0.0009523809523809524,0.16666666666666666,0.8101851851851851,0.05631031573208871
,,VL,1,M,,Phase 3,0.011428571428571429,0.5,2.430555555555556,13.018181945671534
M,,VL,1,M,,Phase 3,0.005714285714285714,0.4615384615384615,2.2435897435897436,5.272248338855806
,,VL,1,M,Phase 3,Phase 3,0.008571428571428572,0.8181818181818182,3.9772727272727275,25.52062908252452
M,,VL,1,M,Phase 3,Phase 3,0.0038095238095238095,0.7999999999999999,3.888888888888889,10.859063945016235
N,,VL,1,M,,Phase 2,0.0038095238095238095,0.4444444444444444,1.0980392156862744,0.059332090184776934
N,Phase 0,VL,1,M,,Phase 2,0.002857142857142857,0.75,1.8529411764705883,1.9863907322011025
N,,VL,1,M,Phase 2,Phase 2,0.002857142857142857,0.75,1.8529411764705883,1.9863907322011025
N,Phase 0,VL,1,M,Phase 2,Phase 2,0.0019047619047619048,0.6666666666666666,1.6470588235294117,0.8565649755604245
N,,VL,1,M,Phase 2,Phase 3,0.0009523809523809524,0.25,1.215277777777778,0.048195191456777274
N,Phase 0,VL,1,M,Phase 2,Phase 3,0.0009523809523809524,0.3333333333333333,1.6203703703703702,0.2998842568733933
N,Phase 0,VL,1,M,,Phase 3,0.0009523809523809524,0.25,1.215277777777778,0.048195191456777274
N,,VL,1,M,,Phase 3,0.0038095238095238095,0.4444444444444444,2.1604938271604937,3.1663174103688543
N,,VL,1,M,Phase 3,Phase 3,0.002857142857142857,0.75,3.6458333333333335,7.279981464159457
M,,VL,1,H,,Phase 3,0.005714285714285714,0.6,2.9166666666666665,9.60587299391256
M,,VL,1,H,Phase 2,Phase 3,0.0019047619047619048,0.39999999999999997,1.9444444444444444,1.1606026183837617
,,VL,1,H,,Phase 2,0.006666666666666667,0.2692307692307692,0.665158371040724,2.032593325791855
,,VL,1,H,Phase 2,Phase 2,0.005714285714285714,0.4,0.9882352941176471,0.001432225063938609
M,,VL,1,H,,Phase 2,0.0038095238095238095,0.39999999999999997,0.988235294117647,0.0009502262443439027
,Phase 0,VL,1,H,,Phase 2,0.002857142857142857,0.375,0.9264705882352942,0.02963757479959351
M,,VL,1,H,Phase 2,Phase 2,0.002857142857142857,0.6,1.4823529411764704,0.7948437939769205
,Phase 0,VL,1,H,Phase 2,Phase 2,0.002857142857142857,0.42857142857142855,1.0588235294117647,0.016581129095933685
,,VL,1,H,Phase 3,Phase 2,0.0009523809523809524,0.09090909090909091,0.22459893048128343,4.544939858872939
M,,VL,1,H,Phase 3,Phase 2,0.0009523809523809524,0.19999999999999998,0.4941176470588235,0.8742808893892484
N,,VL,1,H,,Phase 2,0.002857142857142857,0.21428571428571427,0.5294117647058824,2.136724960254372
N,Phase 0,VL,1,H,,Phase 2,0.002857142857142857,0.42857142857142855,1.0588235294117647,0.016581129095933685
N,,VL,1,H,Phase 2,Phase 2,0.002857142857142857,0.3333333333333333,0.8235294117647058,0.19223597219867783
N,Phase 0,VL,1,H,Phase 2,Phase 2,0.002857142857142857,0.42857142857142855,1.0588235294117647,0.016581129095933685
,,VL,1,H,,Phase 3,0.01619047619047619,0.6538461538461537,3.178418803418803,32.766733202980866
,,VL,1,H,Phase 2,Phase 3,0.008571428571428572,0.6000000000000001,2.916666666666667,14.478417266187053
M,,VL,1,H,Phase 3,Phase 3,0.0038095238095238095,0.7999999999999999,3.888888888888889,10.859063945016235
